,Marketing_Airline_Network,ACT_ARR_DATE,Indicator_x,Indicator_y
93,AA,2018-04-04,0.8593547379134568,0.8819653730414183
94,AA,2018-04-05,0.5732180365492808,0.7355737564898727
95,AA,2018-04-06,0.7765797051499123,0.8922147852555922
96,AA,2018-04-07,0.903493648580916,0.8153622059531969
97,AA,2018-04-08,0.7495646056880007,0.7890249187170139
98,AA,2018-04-09,0.8166783486858746,0.9951073078110769
99,AA,2018-04-10,0.8192940849921889,0.7161351951065373
100,AA,2018-04-11,0.5967970545582312,0.7602156447830863
101,AA,2018-04-12,0.8297331368356043,0.9168192849401005
102,AA,2018-04-13,0.7986374036438341,1.068002607078664
103,AA,2018-04-14,1.003169540229885,0.9756320812885655
104,AA,2018-04-15,0.804262505768174,0.9486422124028947
105,AA,2018-04-16,0.8792221801202738,0.8018349598532253
